Pat Power's - Beverages
Stock period: June 05th to July 05th 2026
"Source: Total Stock Control month-end report, closing stock"

Material Code,Product,Full Description,UoM,Units per Pack,Pack Type,Close Stock,Open Stock,Group
BOT-KOPPSL-50CL2,KOPPARBERG S/L N/A BTL 50CL,KOPPARBERG S/L N/A BTL 50CL (Bottle Beer),bottle,24,case,40.0,35.0,Bottle Beer
BOT-PEROGLUT-33CL,PERONI GLUTEN FREE BTL 33CL,PERONI GLUTEN FREE BTL 33CL (Bottle Beer),bottle,24,case,34.0,42.0,Bottle Beer
BOT-SMIRICE-27.5CL,SMIRNOFF ICE 27.5CL,SMIRNOFF ICE 27.5CL (Bottle Beer),bottle,24,case,55.0,30.0,Bottle Beer
BOT-WESTCOAS-25CL,WEST COAST COOLER CAN 25CL,WEST COAST COOLER CAN 25CL (Bottle Beer),can,24,case,47.0,66.0,Bottle Beer
BOT-WESTCOAS-25CL2,WEST COAST COOLER APPLE DROP CAN 25CL,WEST COAST COOLER APPLE DROP CAN 25CL (Bottle Beer),can,24,case,36.0,55.0,Bottle Beer
BOT-WESTCOAS-25CL23,WEST COAST COOLER ROSE CAN 25CL,WEST COAST COOLER ROSE CAN 25CL (Bottle Beer),can,24,case,57.0,51.0,Bottle Beer
BOT-WESTCOAS-25CL234,WEST COAST COOLER SUNBURST CAN 25CL,WEST COAST COOLER SUNBURST CAN 25CL (Bottle Beer),can,24,case,42.0,61.0,Bottle Beer
BOT-WKDBLUE-27.5CL,WKD BLUE 27.5CL,WKD BLUE 27.5CL (Bottle Beer),bottle,24,case,32.0,29.0,Bottle Beer
MIN-BRITCRAN-20CL,BRITVIC CRANBERRY JUICE 20CL,BRITVIC CRANBERRY JUICE 20CL (Minerals),bottle,24,case,27.0,48.0,Minerals
MIN-BRITORAN-20CL,BRITVIC ORANGE JUICE 20CL,BRITVIC ORANGE JUICE 20CL (Minerals),bottle,24,case,43.0,52.0,Minerals
MIN-CIDOCAN-33CL,CIDONA CAN 33CL,CIDONA CAN 33CL (Minerals),can,24,case,44.0,51.0,Minerals
MIN-CLUBLEMO-20CL,CLUB LEMON BTL 20CL,CLUB LEMON BTL 20CL (Minerals),bottle,24,case,44.0,48.0,Minerals
MIN-CLUBORAN-20CL,CLUB ORANGE BTL 20CL,CLUB ORANGE BTL 20CL (Minerals),bottle,24,case,48.0,46.0,Minerals
MIN-COKEBTL-20CL,COKE BTL 20CL,COKE BTL 20CL (Minerals),bottle,24,case,168.0,109.0,Minerals
MIN-COKEDIET-20CL,COKE DIET BTL 20CL,COKE DIET BTL 20CL (Minerals),bottle,24,case,68.0,78.0,Minerals
MIN-COKEZERO-20CL,COKE ZERO BTL 20CL,COKE ZERO BTL 20CL (Minerals),bottle,24,case,101.0,51.0,Minerals
MIN-FEVEELDE-20CL,FEVER ELDERFLOWER 20CL,FEVER ELDERFLOWER 20CL (Minerals),bottle,24,case,121.0,62.0,Minerals
MIN-LUCOORIG-33CL,LUCOZADE ORIG BTL 33CL,LUCOZADE ORIG BTL 33CL (Minerals),bottle,24,case,126.0,93.0,Minerals
MIN-REDBULL-25CL,RED BULL CAN 25CL,RED BULL CAN 25CL (Minerals),can,24,case,92.0,105.0,Minerals
MIN-SCHWGING-12.5CL,SCHWEPPES GINGER ALE 12.5CL,SCHWEPPES GINGER ALE 12.5CL (Minerals),bottle,24,case,21.0,136.0,Minerals
MIN-SCHWSLIM-12.5CL,SCHWEPPES SLIMLINE TONIC 12.5CL,SCHWEPPES SLIMLINE TONIC 12.5CL (Minerals),bottle,24,case,123.0,79.0,Minerals
MIN-SCHWSODA-12.5CL,SCHWEPPES SODA 12.5CL,SCHWEPPES SODA 12.5CL (Minerals),bottle,24,case,112.0,81.0,Minerals
MIN-SCHWTONI-12.5CL,SCHWEPPES TONIC 12.5CL,SCHWEPPES TONIC 12.5CL (Minerals),bottle,24,case,81.0,150.0,Minerals
MIN-SCHWWHIT-12.5CL,SCHWEPPES WHITE LEMONADE 12.5CL,SCHWEPPES WHITE LEMONADE 12.5CL (Minerals),bottle,24,case,86.0,99.0,Minerals
MIN-SEVEUP-20CL,SEVEN UP BTL 20CL,SEVEN UP BTL 20CL (Minerals),bottle,24,case,117.0,85.0,Minerals
MIN-SEVEUP-20CL2,SEVEN UP FREE BTL 20CL,SEVEN UP FREE BTL 20CL (Minerals),bottle,24,case,81.0,59.0,Minerals
WAT-BALLSPAR-33CL,BALLYGOWAN SPARKLING 33CL,BALLYGOWAN SPARKLING 33CL (Water),bottle,24,case,122.0,67.0,Water
WAT-BALLSTIL-33CL,BALLYGOWAN STILL 33CL,BALLYGOWAN STILL 33CL (Water),bottle,24,case,66.0,125.0,Water
SYR-MIWABLAC-1L,MIWADI BLACKCURRANT 1L,MIWADI BLACKCURRANT 1L (Syrups),bottle,,,35.0,55.0,Syrups
SYR-MIWALIME-1L,MIWADI LIME 1L,MIWADI LIME 1L (Syrups),bottle,,,27.0,62.0,Syrups
SYR-MIWAORAN-1L,MIWADI ORANGE 1L,MIWADI ORANGE 1L (Syrups),bottle,,,42.0,41.0,Syrups
SYR-NASHRED-1L,NASH'S RED LEMONADE 1L,NASH'S RED LEMONADE 1L (Syrups),bottle,,,13.0,7.0,Syrups
SYR-SANOPEPP-1L,SANOR PEPPERMINT 1L,SANOR PEPPERMINT 1L (Syrups),bottle,,,0.0,7.0,Syrups
SYR-SEVEUP-1.25L,SEVEN UP 1.25L,SEVEN UP 1.25L (Syrups),bottle,,,42.0,70.0,Syrups
SYR-TKRED-1.25L,TK RED LEMONADE 1.25L,TK RED LEMONADE 1.25L (Syrups),bottle,,,60.0,157.0,Syrups
BRA-HENN1L-1L,HENNESSY 1L,HENNESSY 1L (Brandy),measure,28,bottle,94.0,148.0,Brandy
IRI-BUSHBLAC-70CL,BUSHMILLS BLACK BUSH 70CL,BUSHMILLS BLACK BUSH 70CL (Irish),measure,20,bottle,33.0,39.0,Irish
IRI-JAME1L-1L,JAMESON 1L,JAMESON 1L (Irish),measure,28,bottle,115.0,167.0,Irish
IRI-JAMEBLAC-70CL,JAMESON BLACK BARREL 70CL,JAMESON BLACK BARREL 70CL (Irish),measure,20,bottle,71.0,46.0,Irish
IRI-JAMECASK-70CL,JAMESON CASKMATES IPA 70CL,JAMESON CASKMATES IPA 70CL (Irish),measure,20,bottle,15.0,15.0,Irish
IRI-JAMECRES-70CL,JAMESON CRESTED 70CL,JAMESON CRESTED 70CL (Irish),measure,20,bottle,19.0,19.0,Irish
IRI-PADD70CL-70CL,PADDY 70CL,PADDY 70CL (Irish),measure,20,bottle,15.0,15.0,Irish
IRI-POWE70CL-70CL,POWERS 70CL,POWERS 70CL (Irish),measure,20,bottle,18.0,18.0,Irish
IRI-REDB12YR-70CL,REDBREAST 12YRS SINGLE POT STILL 70CL,REDBREAST 12YRS SINGLE POT STILL 70CL (Irish),measure,20,bottle,69.0,78.0,Irish
IRI-ROECO-70CL,ROE & CO 70CL,ROE & CO 70CL (Irish),measure,20,bottle,114.0,0.0,Irish
SCO-BLACWHIT-70CL,BLACK & WHITE 70CL,BLACK & WHITE 70CL (Scotch),measure,20,bottle,25.0,28.0,Scotch
TEQ-OLMEREPO-70CL,OLMECA REPOSADO 70CL,OLMECA REPOSADO 70CL (Tequila),measure,20,bottle,42.0,63.0,Tequila
TEQ-OLMETEQU-70CL,OLMECA TEQUILA GOLD 70CL,OLMECA TEQUILA GOLD 70CL (Tequila),measure,20,bottle,0.0,20.0,Tequila
TEQ-TEQUROSE-70CL,TEQUILA ROSE STRAWBERRY 70CL,TEQUILA ROSE STRAWBERRY 70CL (Tequila),measure,20,bottle,59.0,81.0,Tequila
VOD-GREYGOOS-70CL,GREY GOOSE 70CL,GREY GOOSE 70CL (Vodka),measure,20,bottle,10.0,20.0,Vodka
VOD-SMIR1L-1L,SMIRNOFF 1L,SMIRNOFF 1L (Vodka),measure,28,bottle,273.0,493.0,Vodka
GIN-BOMB1L-1L,BOMBAY 1L,BOMBAY 1L (Gin),measure,28,bottle,279.0,300.0,Gin
GIN-DINGGIN-70CL,DINGLE GIN 70CL,DINGLE GIN 70CL (Gin),measure,20,bottle,38.0,34.0,Gin
GIN-GORD1L-1L,GORDONS 1L,GORDONS 1L (Gin),measure,28,bottle,25.0,28.0,Gin
GIN-GORD70CL-70CL,GORDONS 70CL,GORDONS 70CL (Gin),measure,20,bottle,0.0,8.0,Gin
GIN-GORDPINK-1L,GORDONS PINK 1L,GORDONS PINK 1L (Gin),measure,28,bottle,95.0,157.0,Gin
GIN-GORD00-70CL,GORDONS 0.0% 70CL,GORDONS 0.0% 70CL (Gin),measure,20,bottle,22.0,22.0,Gin
GIN-HEND70CL-70CL,HENDRICKS 70CL,HENDRICKS 70CL (Gin),measure,20,bottle,37.0,37.0,Gin
BOU-CANACLUB-70CL,CANADIAN CLUB 70CL,CANADIAN CLUB 70CL (Bourbon),measure,20,bottle,0.0,1.0,Bourbon
BOU-JACKDANI-70CL,JACK DANIELS 70CL,JACK DANIELS 70CL (Bourbon),measure,20,bottle,134.0,156.0,Bourbon
BOU-STHCOMF-70CL,STH COMFORT 70CL,STH COMFORT 70CL (Bourbon),measure,20,bottle,42.0,55.0,Bourbon
RUM-BACA1L-1L,BACARDI 1L,BACARDI 1L (Rum),measure,28,bottle,76.0,108.0,Rum
RUM-CAPTMORG-1L,CAPT MORGAN SPICED GOLD 1L,CAPT MORGAN SPICED GOLD 1L (Rum),measure,28,bottle,84.0,105.0,Rum
RUM-MALI70CL-70CL,MALIBU 70CL,MALIBU 70CL (Rum),measure,20,bottle,25.0,49.0,Rum
RUM-PERN70CL-70CL,PERNOD 70CL,PERNOD 70CL (Rum),measure,20,bottle,10.0,10.0,Rum
RUM-SEADOG-70CL,SEA DOG JAMAICAN RUM 70CL,SEA DOG JAMAICAN RUM 70CL (Rum),measure,20,bottle,46.0,46.0,Rum
APE-BELSROSE-75CL,BELSAZAR ROSE 75CL,BELSAZAR ROSE 75CL (Aperitif),measure,21,bottle,15.0,15.0,Aperitif
APE-MARTEXTR-75CL,MARTINI EXTRA DRY 75CL,MARTINI EXTRA DRY 75CL (Aperitif),measure,21,bottle,20.0,20.0,Aperitif
APE-MARTROSS-75CL,MARTINI ROSSO 75CL,MARTINI ROSSO 75CL (Aperitif),measure,21,bottle,15.0,15.0,Aperitif
APE-SANDPORT-75CL,SANDEMAN PORT 75CL,SANDEMAN PORT 75CL (Aperitif),measure,21,bottle,71.0,75.0,Aperitif
LIQ-AFTEBLUE-70CL,AFTERSHOCK BLUE 70CL,AFTERSHOCK BLUE 70CL (Liqueurs),measure,20,bottle,15.0,29.0,Liqueurs
LIQ-APER70CL-70CL,APEROL 70CL,APEROL 70CL (Liqueurs),measure,20,bottle,0.0,0.0,Liqueurs
LIQ-ARCHPEAC-70CL,ARCHERS PEACH SCHNAPPS 70CL,ARCHERS PEACH SCHNAPPS 70CL (Liqueurs),measure,20,bottle,37.0,38.0,Liqueurs
LIQ-BAIL70CL-70CL,BAILEYS 70CL,BAILEYS 70CL (Liqueurs),measure,20,bottle,43.0,42.0,Liqueurs
LIQ-BOLSCRME-70CL,BOLS CRÈME DE MENTHE 70CL,BOLS CRÈME DE MENTHE 70CL (Liqueurs),measure,20,bottle,27.0,30.0,Liqueurs
LIQ-COINORAN-70CL,COINTREAU ORANGE LIQUEUR 70CL,COINTREAU ORANGE LIQUEUR 70CL (Liqueurs),measure,20,bottle,20.0,22.0,Liqueurs
LIQ-IRISMIST-70CL,IRISH MIST 70CL,IRISH MIST 70CL (Liqueurs),measure,20,bottle,8.0,7.0,Liqueurs
LIQ-JAGE70CL-70CL,JAGERMEISTER 70CL,JAGERMEISTER 70CL (Liqueurs),measure,20,bottle,20.0,77.0,Liqueurs
LIQ-KAHL70CL-70CL,KAHLUA 70CL,KAHLUA 70CL (Liqueurs),measure,20,bottle,74.0,65.0,Liqueurs
LIQ-VACCSAMB-70CL,VACCARI SAMBUCA 70CL,VACCARI SAMBUCA 70CL (Liqueurs),measure,20,bottle,50.0,64.0,Liqueurs
WIN-14ELVA,1/4 ELVARO MERLOT,1/4 ELVARO MERLOT (Wine 1/4),bottle,24,case,52.0,29.0,Wine 1/4
WIN-14MAIS,1/4 MAISON BELLEROCHE CAB SAUV,1/4 MAISON BELLEROCHE CAB SAUV (Wine 1/4),bottle,24,case,1.0,9.0,Wine 1/4
WIN-14SANT,1/4 SANTA HELENA CAB SAUV,1/4 SANTA HELENA CAB SAUV (Wine 1/4),bottle,24,case,41.0,48.0,Wine 1/4
WIN-14GUTT,1/4 GUTTI MENDOZA MALBEC,1/4 GUTTI MENDOZA MALBEC (Wine 1/4),bottle,24,case,35.0,24.0,Wine 1/4
WIN-14MCGU,1/4 MCGUIGAN BLACK LABEL SHIRAZ,1/4 MCGUIGAN BLACK LABEL SHIRAZ (Wine 1/4),bottle,24,case,50.0,24.0,Wine 1/4
WIN-14SANT2,1/4 SANTA RITA SAUV BLANC,1/4 SANTA RITA SAUV BLANC (Wine 1/4),bottle,24,case,18.0,17.0,Wine 1/4
WIN-COSTPROS-75CL,COSTELLORE PROSECCO FRIZZANTE 75CL,COSTELLORE PROSECCO FRIZZANTE 75CL (Wine),glass,6,bottle,2.0,0.0,Wine
WIN-LACELI-75CL,LA CELIA RESERVE PINOT GRIGIO 75CL,LA CELIA RESERVE PINOT GRIGIO 75CL (Wine),glass,6,bottle,18.0,47.0,Wine
WIN-MARLSPRI-75CL,MARLBOROUGH SPRINGS SAUV BLANC 75CL,MARLBOROUGH SPRINGS SAUV BLANC 75CL (Wine),glass,6,bottle,37.0,55.0,Wine
WIN-MASCDEI-20CL,MASCHIO DEI CAVALIERI PROSECCO 20CL,MASCHIO DEI CAVALIERI PROSECCO 20CL (Wine),bottle,24,case,71.0,91.0,Wine
SNA-CADBSNAC-22G,CADBURY SNACK SANDWICH 22G,CADBURY SNACK SANDWICH 22G (Snacks),packet,,,60.0,13.0,Snacks
SNA-CADBSNAC-40G,CADBURY SNACK SHORTCAKE 40G,CADBURY SNACK SHORTCAKE 40G (Snacks),packet,,,30.0,28.0,Snacks
SNA-KPDRY-50G,KP DRY ROASTED NUTS 50G,KP DRY ROASTED NUTS 50G (Snacks),packet,,,25.0,36.0,Snacks
SNA-KPSALT-50G,KP SALTED NUTS 50G,KP SALTED NUTS 50G (Snacks),packet,,,33.0,27.0,Snacks
SNA-NOBBNUTS-40G,NOBBYS NUTS 40G,NOBBYS NUTS 40G (Snacks),packet,,,46.0,20.0,Snacks
SNA-PRINORIG-40G,PRINGLES ORIGINAL 40G,PRINGLES ORIGINAL 40G (Snacks),packet,,,30.0,48.0,Snacks
SNA-PRINSALT-40G,PRINGLES SALT & VINEGAR 40G,PRINGLES SALT & VINEGAR 40G (Snacks),packet,,,33.0,36.0,Snacks
SNA-PRINSOUR-40G,PRINGLES SOUR CREAM & ONION 40G,PRINGLES SOUR CREAM & ONION 40G (Snacks),packet,,,49.0,36.0,Snacks
SNA-SMITBACO-24G,SMITHS BACON FRIES 24G,SMITHS BACON FRIES 24G (Snacks),packet,,,63.0,42.0,Snacks
SNA-TAYTCHEE-35G,TAYTO CHEESE & ONION 35G,TAYTO CHEESE & ONION 35G (Snacks),packet,,,50.0,100.0,Snacks
SNA-SMITSCAM-27G,SMITHS SCAMPI FRIES 27G,SMITHS SCAMPI FRIES 27G (Snacks),packet,,,0.0,1.0,Snacks
SUN-POPPELEC,POPPELL ELECTRON LIGHTER,POPPELL ELECTRON LIGHTER (Sundries),each,,,0.0,0.0,Sundries
